QI	IDcount	ID	Algo1	Algo2	FirstSel	SecondSel	ND	FirstSelPerc	SecondSelPerc	NDperc
HV	15	SMPSO_SPEA2	SMPSO	SPEA2	4	6	1	0.363636363636364	0.545454545454545	0.0909090909090909
IGD	15	SMPSO_SPEA2	SMPSO	SPEA2	2	7	2	0.181818181818182	0.636363636363636	0.181818181818182
EP	15	SMPSO_SPEA2	SMPSO	SPEA2	5	6	0	0.454545454545455	0.545454545454545	0
GD	15	SMPSO_SPEA2	SMPSO	SPEA2	1	10	0	0.0909090909090909	0.909090909090909	0
GS	15	SMPSO_SPEA2	SMPSO	SPEA2	7	3	1	0.636363636363636	0.272727272727273	0.0909090909090909
ED	15	SMPSO_SPEA2	SMPSO	SPEA2	3	8	0	0.272727272727273	0.727272727272727	0
PFS	15	SMPSO_SPEA2	SMPSO	SPEA2	2	6	3	0.181818181818182	0.545454545454545	0.272727272727273
C	15	SMPSO_SPEA2	SMPSO	SPEA2	2	5	4	0.181818181818182	0.454545454545455	0.363636363636364
